state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_updates,total_enrollments
100000,100000,100000,0.0,1.0,217.0,0.0,2.0,0.0,0.0,2.0,218.0
Andaman & Nicobar Islands,Andamans,744101,8.0,1.0,0.0,4.0,299.0,177.0,1147.0,1627.0,9.0
Andaman & Nicobar Islands,Andamans,744103,24.0,1.0,0.0,1.0,147.0,63.0,152.0,363.0,25.0
Andaman & Nicobar Islands,Andamans,744105,22.0,0.0,0.0,1.0,135.0,43.0,157.0,336.0,22.0
Andaman & Nicobar Islands,Andamans,744106,3.0,2.0,0.0,0.0,66.0,37.0,125.0,228.0,5.0
Andaman & Nicobar Islands,Andamans,744107,6.0,1.0,0.0,1.0,32.0,6.0,33.0,72.0,7.0
Andaman & Nicobar Islands,Andamans,744206,5.0,0.0,0.0,0.0,34.0,2.0,24.0,60.0,5.0
Andaman & Nicobar Islands,Andamans,744207,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0
Andaman & Nicobar Islands,Nicobars,744301,1.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,1.0
Andaman & Nicobar Islands,South Andaman,744102,1.0,0.0,0.0,0.0,6.0,0.0,5.0,11.0,1.0
Andaman & Nicobar Islands,South Andaman,744103,12.0,0.0,0.0,2.0,102.0,20.0,70.0,194.0,12.0
Andaman & Nicobar Islands,South Andaman,744105,10.0,0.0,0.0,4.0,85.0,29.0,93.0,211.0,10.0
Andaman & Nicobar Islands,South Andaman,744107,6.0,0.0,0.0,0.0,33.0,11.0,47.0,91.0,6.0
Andaman & Nicobar Islands,South Andaman,744206,8.0,0.0,0.0,0.0,72.0,1.0,90.0,163.0,8.0
Andaman & Nicobar Islands,South Andaman,744207,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
Andaman and Nicobar Islands,Nicobar,744301,56.0,11.0,0.0,46.0,644.0,330.0,402.0,1422.0,67.0
Andaman and Nicobar Islands,Nicobar,744302,3.0,0.0,0.0,3.0,25.0,196.0,108.0,332.0,3.0
Andaman and Nicobar Islands,Nicobar,744303,4.0,0.0,0.0,6.0,45.0,386.0,251.0,688.0,4.0
Andaman and Nicobar Islands,Nicobar,744304,1.0,0.0,0.0,3.0,15.0,80.0,58.0,156.0,1.0
Andaman and Nicobar Islands,North And Middle Andaman,744201,11.0,1.0,0.0,1.0,91.0,500.0,361.0,953.0,12.0
Andaman and Nicobar Islands,North And Middle Andaman,744202,49.0,3.0,0.0,99.0,1408.0,1452.0,1020.0,3979.0,52.0
Andaman and Nicobar Islands,North And Middle Andaman,744203,5.0,0.0,0.0,0.0,5.0,11.0,9.0,25.0,5.0
Andaman and Nicobar Islands,North And Middle Andaman,744204,20.0,0.0,0.0,7.0,154.0,606.0,479.0,1246.0,20.0
Andaman and Nicobar Islands,North And Middle Andaman,744205,26.0,0.0,0.0,2.0,144.0,813.0,449.0,1408.0,26.0
Andaman and Nicobar Islands,North And Middle Andaman,744209,8.0,0.0,0.0,3.0,55.0,243.0,154.0,455.0,8.0
Andaman and Nicobar Islands,North And Middle Andaman,744210,9.0,0.0,0.0,0.0,39.0,155.0,131.0,325.0,9.0
Andaman and Nicobar Islands,South Andaman,744101,22.0,2.0,0.0,59.0,333.0,1038.0,546.0,1976.0,24.0
Andaman and Nicobar Islands,South Andaman,744102,29.0,3.0,0.0,40.0,190.0,353.0,228.0,811.0,32.0
Andaman and Nicobar Islands,South Andaman,744103,23.0,1.0,0.0,83.0,633.0,1290.0,681.0,2687.0,24.0
Andaman and Nicobar Islands,South Andaman,744104,6.0,0.0,0.0,1.0,19.0,55.0,38.0,113.0,6.0
Andaman and Nicobar Islands,South Andaman,744105,43.0,1.0,0.0,134.0,946.0,1406.0,783.0,3269.0,44.0
Andaman and Nicobar Islands,South Andaman,744106,15.0,1.0,0.0,36.0,230.0,357.0,228.0,851.0,16.0
Andaman and Nicobar Islands,South Andaman,744107,4.0,0.0,0.0,31.0,144.0,513.0,195.0,883.0,4.0
Andaman and Nicobar Islands,South Andaman,744112,4.0,0.0,0.0,19.0,59.0,96.0,60.0,234.0,4.0
Andaman and Nicobar Islands,South Andaman,744206,19.0,2.0,0.0,15.0,169.0,474.0,238.0,896.0,21.0
Andaman and Nicobar Islands,South Andaman,744207,13.0,2.0,0.0,8.0,171.0,854.0,382.0,1415.0,15.0
Andhra Pradesh,Adilabad,504001,65.0,4.0,0.0,118.0,1417.0,813.0,2817.0,5165.0,69.0
