pincode,state,district,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
100000,100000,100000,0.0,1.0,217.0,0.0,2.0,0.0,0.0
110001,Delhi,Central Delhi,16.0,6.0,1.0,4.0,197.0,21.0,226.0
110001,Delhi,New Delhi,75.0,33.0,5.0,327.0,2191.0,1300.0,1190.0
110002,Delhi,Central Delhi,302.0,79.0,4.0,357.0,3443.0,2992.0,3884.0
110003,Delhi,Central Delhi,286.0,124.0,53.0,242.0,2117.0,2691.0,2852.0
110003,Delhi,New Delhi,209.0,96.0,31.0,0.0,0.0,0.0,0.0
110003,Delhi,South Delhi,46.0,12.0,0.0,3.0,330.0,53.0,775.0
110004,Delhi,Central Delhi,10.0,1.0,0.0,6.0,56.0,87.0,18.0
110005,Delhi,Central Delhi,619.0,202.0,50.0,834.0,10227.0,4634.0,6424.0
110006,Delhi,North Delhi,778.0,161.0,9.0,1748.0,17100.0,7948.0,11432.0
110007,Delhi,Central Delhi,285.0,89.0,14.0,0.0,0.0,0.0,0.0
110007,Delhi,North Delhi,361.0,91.0,4.0,1122.0,13932.0,5675.0,7780.0
110008,Delhi,Central Delhi,376.0,123.0,18.0,2072.0,19508.0,6469.0,8161.0
110009,Delhi,North West Delhi,306.0,71.0,14.0,520.0,6433.0,3241.0,4410.0
110010,Delhi,South West Delhi,113.0,40.0,2.0,197.0,1582.0,1883.0,2578.0
110011,Delhi,Central Delhi,12.0,2.0,0.0,9.0,54.0,167.0,326.0
110011,Delhi,New Delhi,4.0,0.0,1.0,10.0,54.0,1.0,20.0
110012,Delhi,Central Delhi,138.0,25.0,5.0,329.0,3142.0,2452.0,3771.0
110013,Delhi,South Delhi,117.0,19.0,5.0,56.0,751.0,1515.0,1347.0
110014,Delhi,South Delhi,162.0,33.0,17.0,234.0,3127.0,1852.0,1964.0
110015,Delhi,West Delhi,627.0,169.0,22.0,1170.0,11126.0,4642.0,6970.0
110016,Delhi,South Delhi,160.0,54.0,27.0,145.0,1483.0,1012.0,724.0
110016,Delhi,South West Delhi,24.0,6.0,0.0,7.0,241.0,15.0,112.0
110017,Delhi,South Delhi,996.0,307.0,117.0,980.0,10622.0,3766.0,5371.0
110018,Delhi,West Delhi,2324.0,752.0,162.0,1493.0,15270.0,8841.0,12116.0
110019,Delhi,South Delhi,552.0,116.0,14.0,1594.0,16653.0,6256.0,7045.0
110020,Delhi,South Delhi,268.0,97.0,7.0,198.0,2055.0,3879.0,4979.0
110021,Delhi,New Delhi,103.0,48.0,38.0,205.0,1136.0,1190.0,829.0
110021,Delhi,South West Delhi,49.0,8.0,8.0,44.0,395.0,275.0,877.0
110022,Delhi,South West Delhi,149.0,27.0,14.0,422.0,2911.0,1805.0,2172.0
110023,Delhi,New Delhi,4.0,0.0,0.0,5.0,133.0,10.0,23.0
110023,Delhi,South West Delhi,94.0,24.0,11.0,206.0,1743.0,1040.0,1417.0
110024,Delhi,South Delhi,196.0,72.0,52.0,99.0,1591.0,1071.0,1400.0
110025,Delhi,South Delhi,825.0,276.0,6.0,2636.0,23100.0,7752.0,9713.0
110025,Delhi,South East Delhi,46.0,9.0,5.0,124.0,1045.0,239.0,343.0
110026,Delhi,West Delhi,87.0,24.0,6.0,102.0,1179.0,877.0,1140.0
110027,Delhi,West Delhi,740.0,226.0,43.0,1148.0,12041.0,5391.0,9091.0
110028,Delhi,South West Delhi,119.0,27.0,1.0,203.0,2000.0,2105.0,2236.0
110029,Delhi,South Delhi,57.0,15.0,16.0,0.0,0.0,0.0,0.0
110029,Delhi,South West Delhi,78.0,15.0,7.0,81.0,1157.0,677.0,836.0
110030,Delhi,South Delhi,622.0,214.0,46.0,521.0,5366.0,4931.0,7812.0
110030,Delhi,South West Delhi,14.0,7.0,1.0,41.0,345.0,456.0,347.0
110031,Delhi,East Delhi,409.0,134.0,6.0,3136.0,17371.0,5716.0,7423.0
110032,Delhi,East Delhi,209.0,38.0,0.0,43.0,1390.0,376.0,6402.0
110032,Delhi,North East Delhi,404.0,97.0,0.0,459.0,1954.0,8909.0,5969.0
110032,Delhi,Shahdara,937.0,430.0,56.0,1687.0,10692.0,882.0,2064.0
110033,Delhi,North West Delhi,814.0,199.0,5.0,3997.0,38251.0,10880.0,17220.0
110034,Delhi,North West Delhi,1630.0,566.0,122.0,3802.0,26863.0,6964.0,7548.0
110035,Delhi,North West Delhi,255.0,60.0,1.0,754.0,7249.0,3166.0,4574.0
110036,Delhi,North West Delhi,387.0,92.0,4.0,1410.0,6952.0,5194.0,6559.0
110037,Delhi,New Delhi,274.0,153.0,38.0,0.0,0.0,0.0,0.0
110037,Delhi,South West Delhi,489.0,185.0,27.0,2028.0,10371.0,5252.0,4597.0
110038,Delhi,South West Delhi,39.0,13.0,0.0,189.0,1226.0,931.0,719.0
110039,Delhi,North Delhi,460.0,211.0,24.0,0.0,0.0,0.0,0.0
110039,Delhi,North West Delhi,442.0,157.0,20.0,3021.0,14564.0,8300.0,11912.0
110040,Delhi,North Delhi,435.0,342.0,27.0,0.0,0.0,0.0,0.0
110040,Delhi,North West Delhi,857.0,482.0,65.0,3488.0,13271.0,8875.0,7948.0
110041,Delhi,West Delhi,2115.0,629.0,22.0,7204.0,35266.0,18033.0,27420.0
110042,Delhi,North West Delhi,1061.0,319.0,7.0,4551.0,27811.0,17676.0,29109.0
110043,Delhi,Najafgarh,21.0,9.0,0.0,9.0,186.0,51.0,794.0
110043,Delhi,South West Delhi,958.0,263.0,7.0,5025.0,34168.0,13414.0,16447.0
110043,Delhi,West Delhi,148.0,54.0,2.0,317.0,2469.0,1639.0,2616.0
110044,Delhi,South Delhi,1412.0,368.0,12.0,5792.0,39991.0,19840.0,25972.0
110045,Delhi,South West Delhi,2158.0,688.0,138.0,3692.0,31795.0,9642.0,11397.0
110046,Delhi,South West Delhi,282.0,73.0,7.0,1918.0,15741.0,4710.0,5526.0
110047,Delhi,South Delhi,226.0,62.0,4.0,853.0,5167.0,3327.0,5219.0
110047,Delhi,South West Delhi,8.0,0.0,0.0,4.0,76.0,8.0,8.0
110048,Delhi,South Delhi,129.0,34.0,42.0,131.0,2057.0,908.0,1164.0
110049,Delhi,South Delhi,160.0,23.0,9.0,139.0,1461.0,1391.0,1694.0
110051,Delhi,East Delhi,608.0,176.0,22.0,1913.0,17476.0,5216.0,6353.0
110052,Delhi,North West Delhi,438.0,91.0,4.0,1610.0,16857.0,7314.0,10083.0
110053,Delhi,East Delhi,55.0,22.0,1.0,72.0,574.0,1103.0,922.0
110053,Delhi,North East,397.0,123.0,0.0,89.0,2525.0,654.0,15499.0
110053,Delhi,North East   *,2.0,0.0,0.0,0.0,0.0,0.0,0.0
110053,Delhi,North East Delhi,2171.0,980.0,18.0,2945.0,17817.0,20917.0,19892.0
110053,Delhi,Shahdara,24.0,15.0,1.0,67.0,869.0,92.0,231.0
110054,Delhi,Central Delhi,103.0,33.0,10.0,0.0,0.0,0.0,0.0
110054,Delhi,North Delhi,144.0,52.0,5.0,227.0,1873.0,2619.0,3249.0
110055,Delhi,Central Delhi,572.0,300.0,36.0,537.0,5225.0,3845.0,4225.0
110056,Delhi,North West Delhi,26.0,6.0,1.0,22.0,237.0,448.0,353.0
110057,Delhi,New Delhi,58.0,23.0,19.0,0.0,0.0,0.0,0.0
110057,Delhi,South West Delhi,87.0,20.0,5.0,180.0,2385.0,1565.0,1823.0
110058,Delhi,West Delhi,152.0,35.0,3.0,197.0,2048.0,1765.0,2300.0
110059,Delhi,West Delhi,7297.0,2425.0,740.0,11402.0,104241.0,24328.0,32736.0
110060,Delhi,Central Delhi,42.0,9.0,2.0,42.0,646.0,329.0,485.0
110061,Delhi,New Delhi,85.0,78.0,65.0,0.0,0.0,0.0,0.0
110061,Delhi,South West Delhi,196.0,95.0,32.0,182.0,1580.0,1862.0,1699.0
110062,Delhi,South Delhi,2081.0,519.0,22.0,3713.0,47075.0,21305.0,29062.0
110063,Delhi,West Delhi,316.0,66.0,7.0,1893.0,16259.0,3425.0,4321.0
110064,Delhi,South West Delhi,115.0,35.0,4.0,332.0,3476.0,1903.0,2442.0
110064,Delhi,West Delhi,4.0,3.0,0.0,4.0,155.0,5.0,7.0
110065,Delhi,South Delhi,513.0,151.0,56.0,293.0,3026.0,3089.0,3129.0
110066,Delhi,South West Delhi,34.0,9.0,10.0,69.0,502.0,539.0,653.0
110067,Delhi,South West Delhi,92.0,28.0,15.0,104.0,1072.0,1129.0,1040.0
110068,Delhi,South Delhi,150.0,68.0,5.0,274.0,3355.0,1791.0,1891.0
110070,Delhi,New Delhi,106.0,71.0,20.0,0.0,0.0,0.0,0.0
110070,Delhi,South West Delhi,283.0,89.0,39.0,618.0,5547.0,1980.0,2339.0
110071,Delhi,South West Delhi,213.0,58.0,2.0,544.0,3508.0,2382.0,2715.0
110072,Delhi,South West Delhi,70.0,10.0,0.0,115.0,1048.0,954.0,967.0
110073,Delhi,South West Delhi,99.0,6.0,0.0,103.0,826.0,1949.0,1599.0
110074,Delhi,South Delhi,729.0,213.0,17.0,1251.0,11790.0,5466.0,6477.0
110075,Delhi,South West Delhi,254.0,35.0,5.0,1024.0,8571.0,2257.0,2624.0
110076,Delhi,South Delhi,447.0,90.0,3.0,849.0,9623.0,5237.0,8245.0
110077,Delhi,South West Delhi,481.0,116.0,18.0,1555.0,10650.0,3760.0,3663.0
110078,Delhi,South West Delhi,453.0,68.0,6.0,1057.0,6842.0,4065.0,4136.0
110080,Delhi,South Delhi,290.0,37.0,0.0,568.0,4537.0,2220.0,2292.0
110081,Delhi,North West Delhi,494.0,91.0,2.0,676.0,4614.0,6029.0,10320.0
110082,Delhi,North West Delhi,203.0,49.0,5.0,356.0,1922.0,2586.0,3876.0
110083,Delhi,North West Delhi,405.0,63.0,4.0,1250.0,8160.0,6966.0,12326.0
110084,Delhi,North Delhi,970.0,373.0,12.0,6220.0,44678.0,9400.0,12727.0
110085,Delhi,North West Delhi,2154.0,484.0,69.0,5455.0,40820.0,12547.0,15199.0
110086,Delhi,North West Delhi,2402.0,471.0,26.0,7494.0,48111.0,26574.0,39616.0
110087,Delhi,West Delhi,190.0,22.0,2.0,773.0,6048.0,2218.0,3361.0
110088,Delhi,North West Delhi,317.0,61.0,6.0,867.0,8122.0,4540.0,6333.0
110089,Delhi,North West Delhi,190.0,29.0,0.0,469.0,3937.0,2257.0,4199.0
110090,Delhi,North East Delhi,10.0,1.0,0.0,9.0,19.0,46.0,30.0
110090,Delhi,Shahdara,1.0,0.0,0.0,7.0,46.0,3.0,5.0
110091,Delhi,East Delhi,1729.0,488.0,29.0,4722.0,38038.0,10958.0,13650.0
110092,Delhi,East Delhi,3405.0,1206.0,152.0,8020.0,56936.0,13321.0,15454.0
110093,Delhi,East Delhi,2.0,0.0,0.0,2.0,8.0,2.0,4.0
110093,Delhi,North East,293.0,50.0,0.0,49.0,1341.0,781.0,9479.0
110093,Delhi,North East Delhi,786.0,208.0,1.0,3916.0,18512.0,16526.0,12473.0
110093,Delhi,Shahdara,70.0,35.0,5.0,1328.0,5957.0,826.0,1808.0
110094,Delhi,East Delhi,9.0,5.0,0.0,0.0,60.0,2.0,71.0
110094,Delhi,North East,638.0,235.0,2.0,222.0,7601.0,958.0,19249.0
110094,Delhi,North East Delhi,4928.0,2463.0,46.0,18060.0,77457.0,30880.0,27454.0
110094,Delhi,North West Delhi,14.0,2.0,0.0,2.0,71.0,18.0,133.0
110095,Delhi,East Delhi,986.0,166.0,12.0,568.0,3968.0,7374.0,9784.0
110095,Delhi,Shahdara,89.0,35.0,2.0,1592.0,6299.0,855.0,1197.0
110096,Delhi,East Delhi,643.0,223.0,1.0,6484.0,26280.0,9761.0,8913.0
121001,Haryana,Faridabad,2530.0,537.0,62.0,3018.0,24936.0,11385.0,9338.0
121002,Haryana,Faridabad,1062.0,333.0,40.0,2085.0,14064.0,5922.0,6900.0
121003,Haryana,Faridabad,1148.0,443.0,53.0,1732.0,13602.0,5626.0,7314.0
121004,Haryana,Faridabad,6399.0,1567.0,141.0,8823.0,56943.0,19395.0,19165.0
121004,Haryana,Palwal,108.0,13.0,0.0,111.0,1120.0,839.0,985.0
121005,Haryana,Faridabad,625.0,128.0,4.0,2255.0,16451.0,7128.0,6208.0
121006,Haryana,Faridabad,172.0,33.0,7.0,503.0,3359.0,2012.0,1895.0
121007,Haryana,Faridabad,76.0,11.0,8.0,141.0,1098.0,778.0,784.0
121008,Haryana,Faridabad,47.0,12.0,1.0,110.0,915.0,594.0,726.0
121009,Haryana,Faridabad,90.0,33.0,3.0,114.0,1220.0,1132.0,1449.0
121010,Haryana,Faridabad,64.0,25.0,0.0,108.0,1454.0,513.0,607.0
121012,Haryana,Faridabad,8.0,2.0,0.0,8.0,170.0,99.0,68.0
121013,Haryana,Faridabad,100.0,40.0,0.0,141.0,1285.0,1067.0,1545.0
121014,Haryana,Faridabad,2.0,2.0,0.0,5.0,70.0,5.0,9.0
121101,Haryana,Faridabad,242.0,56.0,4.0,690.0,4941.0,3031.0,3530.0
121102,Haryana,Faridabad,36.0,2.0,0.0,14.0,258.0,271.0,416.0
121102,Haryana,Palwal,1590.0,117.0,2.0,3184.0,26772.0,12372.0,11609.0
121103,Haryana,Faridabad,0.0,1.0,0.0,3.0,6.0,2.0,3.0
121103,Haryana,Palwal,1252.0,107.0,0.0,1680.0,16302.0,6798.0,5536.0
121105,Haryana,Faridabad,1.0,0.0,0.0,0.0,2.0,2.0,5.0
121105,Haryana,Palwal,482.0,37.0,1.0,827.0,6993.0,3353.0,3020.0
121106,Haryana,Faridabad,5.0,0.0,0.0,2.0,25.0,9.0,11.0
121106,Haryana,Palwal,566.0,24.0,1.0,812.0,5999.0,4532.0,4423.0
121107,Haryana,Palwal,369.0,34.0,0.0,651.0,4517.0,2723.0,2507.0
121705,Uttar Pradesh,Mau,78.0,119.0,0.0,477.0,2529.0,1331.0,858.0
122001,Haryana,Gurgaon,2250.0,627.0,63.0,4776.0,34948.0,11213.0,10980.0
122001,Haryana,Gurugram,1166.0,439.0,98.0,0.0,0.0,0.0,0.0
122002,Haryana,Gurgaon,208.0,106.0,48.0,859.0,8671.0,1055.0,1336.0
122002,Haryana,Gurugram,169.0,81.0,89.0,0.0,0.0,0.0,0.0
122003,Haryana,Gurgaon,169.0,35.0,7.0,296.0,3002.0,1147.0,1291.0
122004,Haryana,Gurgaon,225.0,58.0,5.0,810.0,6603.0,1647.0,1614.0
122004,Haryana,Gurugram,150.0,42.0,10.0,0.0,0.0,0.0,0.0
122005,Haryana,Gurgaon,8.0,2.0,2.0,9.0,65.0,9.0,8.0
122006,Haryana,Gurgaon,128.0,18.0,1.0,276.0,2436.0,778.0,865.0
122008,Haryana,Gurgaon,5.0,1.0,1.0,4.0,63.0,4.0,11.0
122009,Haryana,Gurgaon,30.0,11.0,17.0,90.0,1253.0,318.0,415.0
122010,Haryana,Gurgaon,3.0,4.0,1.0,9.0,108.0,13.0,13.0
122011,Haryana,Gurgaon,53.0,18.0,15.0,132.0,1308.0,584.0,487.0
122015,Haryana,Gurgaon,36.0,9.0,1.0,58.0,549.0,317.0,321.0
122016,Haryana,Gurgaon,22.0,6.0,2.0,31.0,290.0,251.0,288.0
122017,Haryana,Gurgaon,181.0,66.0,6.0,765.0,6245.0,1404.0,1433.0
122018,Haryana,Gurgaon,137.0,32.0,7.0,444.0,3311.0,942.0,947.0
122051,Haryana,Gurgaon,54.0,10.0,1.0,38.0,390.0,414.0,452.0
122052,Haryana,Gurgaon,8.0,3.0,0.0,15.0,183.0,63.0,66.0
122098,Haryana,Gurgaon,4.0,0.0,1.0,7.0,72.0,2.0,2.0
122101,Haryana,Gurgaon,220.0,52.0,5.0,1018.0,7726.0,1444.0,1922.0
122102,Haryana,Gurgaon,244.0,54.0,11.0,309.0,2019.0,1704.0,1659.0
122103,Haryana,Gurgaon,394.0,38.0,1.0,1134.0,8234.0,2655.0,2574.0
122103,Haryana,Gurugram,319.0,63.0,10.0,0.0,0.0,0.0,0.0
122103,Haryana,Mewat,469.0,40.0,0.0,232.0,2033.0,3210.0,1809.0
122104,Haryana,Mewat,724.0,46.0,2.0,644.0,6095.0,4848.0,3485.0
122105,Haryana,Gurgaon,13.0,0.0,0.0,4.0,66.0,56.0,80.0
122105,Haryana,Mewat,517.0,26.0,0.0,541.0,4621.0,5788.0,5200.0
122107,Haryana,Gurgaon,10.0,1.0,0.0,7.0,96.0,13.0,90.0
122107,Haryana,Mewat,994.0,82.0,0.0,1087.0,8759.0,6502.0,5067.0
122107,Haryana,Rewari,5.0,4.0,0.0,2.0,35.0,44.0,38.0
122108,Haryana,Mewat,862.0,52.0,2.0,836.0,8037.0,5541.0,4723.0
122108,Haryana,Nuh,349.0,63.0,15.0,0.0,0.0,0.0,0.0
122413,Haryana,Gurgaon,133.0,13.0,0.0,253.0,1613.0,1188.0,1446.0
122414,Haryana,Gurgaon,81.0,1.0,0.0,86.0,649.0,848.0,860.0
122414,Haryana,Rewari,11.0,3.0,0.0,9.0,85.0,143.0,119.0
122502,Haryana,Gurgaon,59.0,1.0,0.0,74.0,441.0,698.0,668.0
122502,Haryana,Rewari,42.0,4.0,0.0,66.0,394.0,470.0,476.0
122503,Haryana,Gurgaon,190.0,10.0,0.0,353.0,2587.0,2185.0,1695.0
122504,Haryana,Gurgaon,135.0,8.0,0.0,107.0,850.0,1089.0,1051.0
122505,Haryana,Gurgaon,228.0,52.0,1.0,1251.0,9530.0,1793.0,1571.0
122506,Haryana,Gurgaon,185.0,11.0,1.0,306.0,2339.0,1379.0,1376.0
122508,Haryana,Gurgaon,1.0,0.0,0.0,0.0,1.0,4.0,2.0
122508,Haryana,Mewat,3423.0,304.0,15.0,3024.0,30756.0,12378.0,9773.0
122508,Haryana,Nuh,902.0,150.0,27.0,0.0,0.0,0.0,0.0
123001,Haryana,Mahendragarh,822.0,38.0,10.0,1067.0,8847.0,6274.0,7364.0
123021,Haryana,Mahendragarh,303.0,14.0,0.0,520.0,4451.0,2604.0,3632.0
123023,Haryana,Mahendragarh,360.0,54.0,0.0,203.0,2287.0,3012.0,3780.0
123024,Haryana,Mahendragarh,149.0,10.0,0.0,124.0,1182.0,1325.0,2037.0
123027,Haryana,Mahendragarh,308.0,14.0,0.0,576.0,3147.0,2126.0,3118.0
123028,Haryana,Mahendragarh,118.0,5.0,2.0,56.0,533.0,755.0,1152.0
123029,Haryana,Mahendragarh,367.0,14.0,8.0,402.0,4174.0,3181.0,5141.0
123029,Haryana,Rewari,1.0,0.0,0.0,0.0,2.0,0.0,2.0
123034,Haryana,Mahendragarh,148.0,6.0,4.0,156.0,809.0,1224.0,2107.0
123035,Haryana,Gurgaon,3.0,0.0,0.0,2.0,7.0,16.0,12.0
123035,Haryana,Rewari,118.0,2.0,0.0,49.0,564.0,1000.0,1063.0
123101,Haryana,Rewari,85.0,3.0,0.0,223.0,1466.0,1249.0,1095.0
123102,Haryana,Rewari,93.0,1.0,2.0,98.0,635.0,1081.0,1477.0
123103,Haryana,Rewari,70.0,5.0,0.0,67.0,417.0,696.0,812.0
123106,Haryana,Rewari,174.0,29.0,1.0,764.0,4691.0,2439.0,1794.0
123110,Haryana,Rewari,19.0,4.0,0.0,27.0,207.0,344.0,288.0
123301,Haryana,Rewari,70.0,5.0,0.0,119.0,576.0,604.0,564.0
123302,Haryana,Rewari,126.0,7.0,0.0,151.0,808.0,1484.0,1443.0
123303,Haryana,Rewari,126.0,3.0,0.0,148.0,1079.0,1388.0,1566.0
123401,Haryana,Rewari,834.0,49.0,1.0,3528.0,20617.0,8897.0,9324.0
123411,Haryana,Rewari,222.0,4.0,0.0,419.0,2544.0,2049.0,2148.0
123412,Haryana,Rewari,61.0,5.0,0.0,51.0,362.0,547.0,508.0
