state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrollments,demo_age_5_17,demo_age_17_,total_demo_updates,bio_age_5_17,bio_age_17_,total_bio_updates,update_intensity,child_enr_share
100000,100000,100000,0.0,1.0,217.0,218.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0091324200913242,0.0
Andaman & Nicobar Islands,Andamans,744101,8.0,1.0,0.0,9.0,4.0,299.0,303.0,177.0,1147.0,1324.0,162.7,0.8
Andaman & Nicobar Islands,Andamans,744103,24.0,1.0,0.0,25.0,1.0,147.0,148.0,63.0,152.0,215.0,13.961538461538462,0.9230769230769231
Andaman & Nicobar Islands,Andamans,744105,22.0,0.0,0.0,22.0,1.0,135.0,136.0,43.0,157.0,200.0,14.608695652173912,0.9565217391304348
Andaman & Nicobar Islands,Andamans,744106,3.0,2.0,0.0,5.0,0.0,66.0,66.0,37.0,125.0,162.0,38.0,0.5
Andaman & Nicobar Islands,Andamans,744107,6.0,1.0,0.0,7.0,1.0,32.0,33.0,6.0,33.0,39.0,9.0,0.75
Andaman & Nicobar Islands,Andamans,744206,5.0,0.0,0.0,5.0,0.0,34.0,34.0,2.0,24.0,26.0,10.0,0.8333333333333334
Andaman & Nicobar Islands,Andamans,744207,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3333333333333333,0.6666666666666666
Andaman & Nicobar Islands,Nicobars,744301,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,2.0,3.0,0.5
Andaman & Nicobar Islands,South Andaman,744102,1.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,5.0,5.0,5.5,0.5
Andaman & Nicobar Islands,South Andaman,744103,12.0,0.0,0.0,12.0,2.0,102.0,104.0,20.0,70.0,90.0,14.923076923076923,0.9230769230769231
Andaman & Nicobar Islands,South Andaman,744105,10.0,0.0,0.0,10.0,4.0,85.0,89.0,29.0,93.0,122.0,19.181818181818183,0.9090909090909091
Andaman & Nicobar Islands,South Andaman,744107,6.0,0.0,0.0,6.0,0.0,33.0,33.0,11.0,47.0,58.0,13.0,0.8571428571428571
Andaman & Nicobar Islands,South Andaman,744206,8.0,0.0,0.0,8.0,0.0,72.0,72.0,1.0,90.0,91.0,18.11111111111111,0.8888888888888888
Andaman & Nicobar Islands,South Andaman,744207,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
Andaman and Nicobar Islands,Nicobar,744301,56.0,11.0,0.0,67.0,46.0,644.0,690.0,330.0,402.0,732.0,20.91176470588235,0.8235294117647058
Andaman and Nicobar Islands,Nicobar,744302,3.0,0.0,0.0,3.0,3.0,25.0,28.0,196.0,108.0,304.0,83.0,0.75
Andaman and Nicobar Islands,Nicobar,744303,4.0,0.0,0.0,4.0,6.0,45.0,51.0,386.0,251.0,637.0,137.6,0.8
Andaman and Nicobar Islands,Nicobar,744304,1.0,0.0,0.0,1.0,3.0,15.0,18.0,80.0,58.0,138.0,78.0,0.5
Andaman and Nicobar Islands,North And Middle Andaman,744201,11.0,1.0,0.0,12.0,1.0,91.0,92.0,500.0,361.0,861.0,73.3076923076923,0.8461538461538461
Andaman and Nicobar Islands,North And Middle Andaman,744202,49.0,3.0,0.0,52.0,99.0,1408.0,1507.0,1452.0,1020.0,2472.0,75.0754716981132,0.9245283018867925
Andaman and Nicobar Islands,North And Middle Andaman,744203,5.0,0.0,0.0,5.0,0.0,5.0,5.0,11.0,9.0,20.0,4.166666666666667,0.8333333333333334
Andaman and Nicobar Islands,North And Middle Andaman,744204,20.0,0.0,0.0,20.0,7.0,154.0,161.0,606.0,479.0,1085.0,59.333333333333336,0.9523809523809523
Andaman and Nicobar Islands,North And Middle Andaman,744205,26.0,0.0,0.0,26.0,2.0,144.0,146.0,813.0,449.0,1262.0,52.148148148148145,0.9629629629629629
Andaman and Nicobar Islands,North And Middle Andaman,744209,8.0,0.0,0.0,8.0,3.0,55.0,58.0,243.0,154.0,397.0,50.55555555555556,0.8888888888888888
Andaman and Nicobar Islands,North And Middle Andaman,744210,9.0,0.0,0.0,9.0,0.0,39.0,39.0,155.0,131.0,286.0,32.5,0.9
Andaman and Nicobar Islands,South Andaman,744101,22.0,2.0,0.0,24.0,59.0,333.0,392.0,1038.0,546.0,1584.0,79.04,0.88
Andaman and Nicobar Islands,South Andaman,744102,29.0,3.0,0.0,32.0,40.0,190.0,230.0,353.0,228.0,581.0,24.575757575757574,0.8787878787878788
Andaman and Nicobar Islands,South Andaman,744103,23.0,1.0,0.0,24.0,83.0,633.0,716.0,1290.0,681.0,1971.0,107.48,0.92
Andaman and Nicobar Islands,South Andaman,744104,6.0,0.0,0.0,6.0,1.0,19.0,20.0,55.0,38.0,93.0,16.142857142857142,0.8571428571428571
Andaman and Nicobar Islands,South Andaman,744105,43.0,1.0,0.0,44.0,134.0,946.0,1080.0,1406.0,783.0,2189.0,72.64444444444445,0.9555555555555556
Andaman and Nicobar Islands,South Andaman,744106,15.0,1.0,0.0,16.0,36.0,230.0,266.0,357.0,228.0,585.0,50.05882352941177,0.8823529411764706
Andaman and Nicobar Islands,South Andaman,744107,4.0,0.0,0.0,4.0,31.0,144.0,175.0,513.0,195.0,708.0,176.6,0.8
Andaman and Nicobar Islands,South Andaman,744112,4.0,0.0,0.0,4.0,19.0,59.0,78.0,96.0,60.0,156.0,46.8,0.8
Andaman and Nicobar Islands,South Andaman,744206,19.0,2.0,0.0,21.0,15.0,169.0,184.0,474.0,238.0,712.0,40.72727272727273,0.8636363636363636
Andaman and Nicobar Islands,South Andaman,744207,13.0,2.0,0.0,15.0,8.0,171.0,179.0,854.0,382.0,1236.0,88.4375,0.8125
Andhra Pradesh,Adilabad,504001,65.0,4.0,0.0,69.0,118.0,1417.0,1535.0,813.0,2817.0,3630.0,73.78571428571429,0.9285714285714286
Andhra Pradesh,Adilabad,504101,12.0,0.0,0.0,12.0,22.0,194.0,216.0,142.0,231.0,373.0,45.30769230769231,0.9230769230769231
Andhra Pradesh,Adilabad,504102,16.0,1.0,0.0,17.0,34.0,151.0,185.0,220.0,461.0,681.0,48.111111111111114,0.8888888888888888
Andhra Pradesh,Adilabad,504103,30.0,5.0,0.0,35.0,139.0,1061.0,1200.0,661.0,1538.0,2199.0,94.41666666666667,0.8333333333333334
Andhra Pradesh,Adilabad,504104,1.0,1.0,0.0,2.0,10.0,126.0,136.0,78.0,189.0,267.0,134.33333333333334,0.3333333333333333
Andhra Pradesh,Adilabad,504105,2.0,0.0,0.0,2.0,48.0,306.0,354.0,106.0,224.0,330.0,228.0,0.6666666666666666
Andhra Pradesh,Adilabad,504106,19.0,3.0,1.0,23.0,69.0,563.0,632.0,429.0,1063.0,1492.0,88.5,0.7916666666666666
Andhra Pradesh,Adilabad,504109,19.0,2.0,0.0,21.0,40.0,312.0,352.0,218.0,486.0,704.0,48.0,0.8636363636363636
Andhra Pradesh,Adilabad,504201,32.0,1.0,0.0,33.0,113.0,1250.0,1363.0,361.0,928.0,1289.0,78.0,0.9411764705882353
Andhra Pradesh,Adilabad,504203,9.0,3.0,0.0,12.0,48.0,355.0,403.0,386.0,605.0,991.0,107.23076923076923,0.6923076923076923
Andhra Pradesh,Adilabad,504204,12.0,8.0,0.0,20.0,46.0,393.0,439.0,222.0,754.0,976.0,67.38095238095238,0.5714285714285714
Andhra Pradesh,Adilabad,504205,11.0,2.0,0.0,13.0,84.0,724.0,808.0,230.0,736.0,966.0,126.71428571428571,0.7857142857142857
Andhra Pradesh,Adilabad,504206,8.0,1.0,0.0,9.0,67.0,573.0,640.0,182.0,534.0,716.0,135.6,0.8
Andhra Pradesh,Adilabad,504207,25.0,3.0,0.0,28.0,61.0,565.0,626.0,224.0,591.0,815.0,49.689655172413794,0.8620689655172413
Andhra Pradesh,Adilabad,504208,39.0,5.0,0.0,44.0,50.0,496.0,546.0,465.0,947.0,1412.0,43.51111111111111,0.8666666666666667
Andhra Pradesh,Adilabad,504209,12.0,1.0,0.0,13.0,10.0,139.0,149.0,85.0,153.0,238.0,27.642857142857142,0.8571428571428571
Andhra Pradesh,Adilabad,504214,18.0,8.0,0.0,26.0,47.0,700.0,747.0,205.0,1021.0,1226.0,73.07407407407408,0.6666666666666666
Andhra Pradesh,Adilabad,504215,32.0,8.0,0.0,40.0,72.0,776.0,848.0,292.0,810.0,1102.0,47.5609756097561,0.7804878048780488
Andhra Pradesh,Adilabad,504216,19.0,2.0,0.0,21.0,83.0,428.0,511.0,160.0,358.0,518.0,46.77272727272727,0.8636363636363636
Andhra Pradesh,Adilabad,504219,13.0,7.0,0.0,20.0,112.0,673.0,785.0,277.0,1780.0,2057.0,135.33333333333334,0.6190476190476191
Andhra Pradesh,Adilabad,504220,1.0,0.0,0.0,1.0,2.0,39.0,41.0,8.0,34.0,42.0,41.5,0.5
Andhra Pradesh,Adilabad,504231,33.0,6.0,0.0,39.0,53.0,518.0,571.0,247.0,702.0,949.0,38.0,0.825
Andhra Pradesh,Adilabad,504251,28.0,10.0,0.0,38.0,171.0,1275.0,1446.0,401.0,1867.0,2268.0,95.23076923076923,0.717948717948718
Andhra Pradesh,Adilabad,504272,7.0,1.0,0.0,8.0,26.0,319.0,345.0,138.0,505.0,643.0,109.77777777777777,0.7777777777777778
Andhra Pradesh,Adilabad,504273,39.0,26.0,0.0,65.0,93.0,636.0,729.0,386.0,1437.0,1823.0,38.666666666666664,0.5909090909090909
Andhra Pradesh,Adilabad,504292,15.0,4.0,0.0,19.0,42.0,516.0,558.0,173.0,553.0,726.0,64.2,0.75
Andhra Pradesh,Adilabad,504293,20.0,14.0,0.0,34.0,71.0,1051.0,1122.0,407.0,920.0,1327.0,69.97142857142858,0.5714285714285714
Andhra Pradesh,Adilabad,504294,50.0,9.0,0.0,59.0,31.0,467.0,498.0,343.0,1665.0,2008.0,41.766666666666666,0.8333333333333334
Andhra Pradesh,Adilabad,504295,27.0,15.0,0.0,42.0,39.0,814.0,853.0,195.0,734.0,929.0,41.44186046511628,0.627906976744186
Andhra Pradesh,Adilabad,504296,92.0,19.0,0.0,111.0,117.0,1454.0,1571.0,559.0,2093.0,2652.0,37.705357142857146,0.8214285714285714
Andhra Pradesh,Adilabad,504299,97.0,32.0,0.0,129.0,196.0,3080.0,3276.0,1109.0,4715.0,5824.0,70.0,0.7461538461538462
Andhra Pradesh,Adilabad,504301,15.0,4.0,0.0,19.0,18.0,188.0,206.0,74.0,220.0,294.0,25.0,0.75
Andhra Pradesh,Adilabad,504302,17.0,5.0,0.0,22.0,6.0,236.0,242.0,139.0,290.0,429.0,29.17391304347826,0.7391304347826086
Andhra Pradesh,Adilabad,504303,8.0,0.0,0.0,8.0,12.0,148.0,160.0,56.0,107.0,163.0,35.888888888888886,0.8888888888888888
Andhra Pradesh,Adilabad,504304,6.0,1.0,0.0,7.0,11.0,140.0,151.0,64.0,191.0,255.0,50.75,0.75
Andhra Pradesh,Adilabad,504306,7.0,0.0,0.0,7.0,30.0,166.0,196.0,82.0,214.0,296.0,61.5,0.875
Andhra Pradesh,Adilabad,504307,55.0,7.0,0.0,62.0,52.0,469.0,521.0,219.0,698.0,917.0,22.825396825396826,0.873015873015873
