state,district,pincode,total_enrollments,total_demo_updates,total_bio_updates,total_updates,update_to_enrollment_ratio
100000,100000,100000,218.0,2.0,0.0,2.0,0.0091324200913242
Andaman & Nicobar Islands,Andamans,744101,9.0,303.0,1324.0,1627.0,162.7
Andaman & Nicobar Islands,Andamans,744103,25.0,148.0,215.0,363.0,13.961538461538462
Andaman & Nicobar Islands,Andamans,744105,22.0,136.0,200.0,336.0,14.608695652173912
Andaman & Nicobar Islands,Andamans,744106,5.0,66.0,162.0,228.0,38.0
Andaman & Nicobar Islands,Andamans,744107,7.0,33.0,39.0,72.0,9.0
Andaman & Nicobar Islands,Andamans,744206,5.0,34.0,26.0,60.0,10.0
Andaman & Nicobar Islands,Andamans,744207,2.0,0.0,4.0,4.0,1.3333333333333333
Andaman & Nicobar Islands,Nicobars,744301,1.0,4.0,2.0,6.0,3.0
Andaman & Nicobar Islands,South Andaman,744102,1.0,6.0,5.0,11.0,5.5
Andaman & Nicobar Islands,South Andaman,744103,12.0,104.0,90.0,194.0,14.923076923076923
Andaman & Nicobar Islands,South Andaman,744105,10.0,89.0,122.0,211.0,19.181818181818183
Andaman & Nicobar Islands,South Andaman,744107,6.0,33.0,58.0,91.0,13.0
Andaman & Nicobar Islands,South Andaman,744206,8.0,72.0,91.0,163.0,18.11111111111111
Andaman & Nicobar Islands,South Andaman,744207,1.0,1.0,1.0,2.0,1.0
Andaman and Nicobar Islands,Nicobar,744301,67.0,690.0,732.0,1422.0,20.91176470588235
Andaman and Nicobar Islands,Nicobar,744302,3.0,28.0,304.0,332.0,83.0
Andaman and Nicobar Islands,Nicobar,744303,4.0,51.0,637.0,688.0,137.6
Andaman and Nicobar Islands,Nicobar,744304,1.0,18.0,138.0,156.0,78.0
Andaman and Nicobar Islands,North And Middle Andaman,744201,12.0,92.0,861.0,953.0,73.3076923076923
Andaman and Nicobar Islands,North And Middle Andaman,744202,52.0,1507.0,2472.0,3979.0,75.0754716981132
Andaman and Nicobar Islands,North And Middle Andaman,744203,5.0,5.0,20.0,25.0,4.166666666666667
Andaman and Nicobar Islands,North And Middle Andaman,744204,20.0,161.0,1085.0,1246.0,59.333333333333336
Andaman and Nicobar Islands,North And Middle Andaman,744205,26.0,146.0,1262.0,1408.0,52.148148148148145
Andaman and Nicobar Islands,North And Middle Andaman,744209,8.0,58.0,397.0,455.0,50.55555555555556
Andaman and Nicobar Islands,North And Middle Andaman,744210,9.0,39.0,286.0,325.0,32.5
Andaman and Nicobar Islands,South Andaman,744101,24.0,392.0,1584.0,1976.0,79.04
Andaman and Nicobar Islands,South Andaman,744102,32.0,230.0,581.0,811.0,24.575757575757574
Andaman and Nicobar Islands,South Andaman,744103,24.0,716.0,1971.0,2687.0,107.48
Andaman and Nicobar Islands,South Andaman,744104,6.0,20.0,93.0,113.0,16.142857142857142
Andaman and Nicobar Islands,South Andaman,744105,44.0,1080.0,2189.0,3269.0,72.64444444444445
Andaman and Nicobar Islands,South Andaman,744106,16.0,266.0,585.0,851.0,50.05882352941177
Andaman and Nicobar Islands,South Andaman,744107,4.0,175.0,708.0,883.0,176.6
Andaman and Nicobar Islands,South Andaman,744112,4.0,78.0,156.0,234.0,46.8
Andaman and Nicobar Islands,South Andaman,744206,21.0,184.0,712.0,896.0,40.72727272727273
Andaman and Nicobar Islands,South Andaman,744207,15.0,179.0,1236.0,1415.0,88.4375
Andhra Pradesh,Adilabad,504001,69.0,1535.0,3630.0,5165.0,73.78571428571429
Andhra Pradesh,Adilabad,504101,12.0,216.0,373.0,589.0,45.30769230769231
Andhra Pradesh,Adilabad,504102,17.0,185.0,681.0,866.0,48.111111111111114
Andhra Pradesh,Adilabad,504103,35.0,1200.0,2199.0,3399.0,94.41666666666667
Andhra Pradesh,Adilabad,504104,2.0,136.0,267.0,403.0,134.33333333333334
Andhra Pradesh,Adilabad,504105,2.0,354.0,330.0,684.0,228.0
Andhra Pradesh,Adilabad,504106,23.0,632.0,1492.0,2124.0,88.5
Andhra Pradesh,Adilabad,504109,21.0,352.0,704.0,1056.0,48.0
Andhra Pradesh,Adilabad,504201,33.0,1363.0,1289.0,2652.0,78.0
Andhra Pradesh,Adilabad,504203,12.0,403.0,991.0,1394.0,107.23076923076923
Andhra Pradesh,Adilabad,504204,20.0,439.0,976.0,1415.0,67.38095238095238
Andhra Pradesh,Adilabad,504205,13.0,808.0,966.0,1774.0,126.71428571428571
Andhra Pradesh,Adilabad,504206,9.0,640.0,716.0,1356.0,135.6
Andhra Pradesh,Adilabad,504207,28.0,626.0,815.0,1441.0,49.689655172413794
Andhra Pradesh,Adilabad,504208,44.0,546.0,1412.0,1958.0,43.51111111111111
Andhra Pradesh,Adilabad,504209,13.0,149.0,238.0,387.0,27.642857142857142
Andhra Pradesh,Adilabad,504214,26.0,747.0,1226.0,1973.0,73.07407407407408
Andhra Pradesh,Adilabad,504215,40.0,848.0,1102.0,1950.0,47.5609756097561
Andhra Pradesh,Adilabad,504216,21.0,511.0,518.0,1029.0,46.77272727272727
Andhra Pradesh,Adilabad,504219,20.0,785.0,2057.0,2842.0,135.33333333333334
Andhra Pradesh,Adilabad,504220,1.0,41.0,42.0,83.0,41.5
Andhra Pradesh,Adilabad,504231,39.0,571.0,949.0,1520.0,38.0
Andhra Pradesh,Adilabad,504251,38.0,1446.0,2268.0,3714.0,95.23076923076923
Andhra Pradesh,Adilabad,504272,8.0,345.0,643.0,988.0,109.77777777777777
Andhra Pradesh,Adilabad,504273,65.0,729.0,1823.0,2552.0,38.666666666666664
Andhra Pradesh,Adilabad,504292,19.0,558.0,726.0,1284.0,64.2
Andhra Pradesh,Adilabad,504293,34.0,1122.0,1327.0,2449.0,69.97142857142858
Andhra Pradesh,Adilabad,504294,59.0,498.0,2008.0,2506.0,41.766666666666666
Andhra Pradesh,Adilabad,504295,42.0,853.0,929.0,1782.0,41.44186046511628
Andhra Pradesh,Adilabad,504296,111.0,1571.0,2652.0,4223.0,37.705357142857146
Andhra Pradesh,Adilabad,504299,129.0,3276.0,5824.0,9100.0,70.0
Andhra Pradesh,Adilabad,504301,19.0,206.0,294.0,500.0,25.0
Andhra Pradesh,Adilabad,504302,22.0,242.0,429.0,671.0,29.17391304347826
Andhra Pradesh,Adilabad,504303,8.0,160.0,163.0,323.0,35.888888888888886
Andhra Pradesh,Adilabad,504304,7.0,151.0,255.0,406.0,50.75
Andhra Pradesh,Adilabad,504306,7.0,196.0,296.0,492.0,61.5
Andhra Pradesh,Adilabad,504307,62.0,521.0,917.0,1438.0,22.825396825396826
Andhra Pradesh,Adilabad,504308,30.0,383.0,574.0,957.0,30.870967741935484
Andhra Pradesh,Adilabad,504309,14.0,551.0,1143.0,1694.0,112.93333333333334
Andhra Pradesh,Adilabad,504310,2.0,121.0,212.0,333.0,111.0
Andhra Pradesh,Adilabad,504311,79.0,1435.0,3057.0,4492.0,56.15
Andhra Pradesh,Adilabad,504312,31.0,303.0,1162.0,1465.0,45.78125
Andhra Pradesh,Adilabad,504313,101.0,1107.0,1372.0,2479.0,24.30392156862745
Andhra Pradesh,Adilabad,504346,32.0,322.0,852.0,1174.0,35.57575757575758
Andhra Pradesh,Alluri Sitharama Raju,507111,34.0,807.0,311.0,1118.0,31.942857142857143
Andhra Pradesh,Alluri Sitharama Raju,507121,17.0,170.0,240.0,410.0,22.77777777777778
Andhra Pradesh,Alluri Sitharama Raju,507129,49.0,624.0,611.0,1235.0,24.7
Andhra Pradesh,Alluri Sitharama Raju,507134,27.0,220.0,283.0,503.0,17.964285714285715
Andhra Pradesh,Alluri Sitharama Raju,507135,12.0,187.0,337.0,524.0,40.30769230769231
Andhra Pradesh,Alluri Sitharama Raju,531024,101.0,700.0,1321.0,2021.0,19.813725490196077
Andhra Pradesh,Alluri Sitharama Raju,531029,103.0,999.0,1257.0,2256.0,21.692307692307693
Andhra Pradesh,Alluri Sitharama Raju,531030,4.0,33.0,106.0,139.0,27.8
Andhra Pradesh,Alluri Sitharama Raju,531040,139.0,1346.0,2034.0,3380.0,24.142857142857142
Andhra Pradesh,Alluri Sitharama Raju,531077,117.0,1016.0,1066.0,2082.0,17.64406779661017
Andhra Pradesh,Alluri Sitharama Raju,531084,23.0,297.0,256.0,553.0,23.041666666666668
Andhra Pradesh,Alluri Sitharama Raju,531087,47.0,406.0,581.0,987.0,20.5625
Andhra Pradesh,Alluri Sitharama Raju,531105,37.0,201.0,228.0,429.0,11.289473684210526
Andhra Pradesh,Alluri Sitharama Raju,531110,2.0,9.0,39.0,48.0,16.0
Andhra Pradesh,Alluri Sitharama Raju,531111,96.0,845.0,1516.0,2361.0,24.34020618556701
Andhra Pradesh,Alluri Sitharama Raju,531114,1.0,0.0,0.0,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,531116,17.0,89.0,60.0,149.0,8.277777777777779
Andhra Pradesh,Alluri Sitharama Raju,531118,32.0,148.0,356.0,504.0,15.272727272727273
Andhra Pradesh,Alluri Sitharama Raju,531133,33.0,462.0,507.0,969.0,28.5
Andhra Pradesh,Alluri Sitharama Raju,531149,34.0,491.0,965.0,1456.0,41.6
Andhra Pradesh,Alluri Sitharama Raju,531151,61.0,222.0,909.0,1131.0,18.241935483870968
Andhra Pradesh,Alluri Sitharama Raju,533284,10.0,43.0,46.0,89.0,8.090909090909092
Andhra Pradesh,Alluri Sitharama Raju,533285,13.0,83.0,48.0,131.0,9.357142857142858
Andhra Pradesh,Alluri Sitharama Raju,533286,5.0,37.0,35.0,72.0,12.0
Andhra Pradesh,Alluri Sitharama Raju,533288,51.0,552.0,1756.0,2308.0,44.38461538461539
Andhra Pradesh,Alluri Sitharama Raju,533295,20.0,858.0,625.0,1483.0,70.61904761904762
Andhra Pradesh,Alluri Sitharama Raju,533339,8.0,61.0,271.0,332.0,36.888888888888886
Andhra Pradesh,Alluri Sitharama Raju,533347,8.0,125.0,178.0,303.0,33.666666666666664
Andhra Pradesh,Alluri Sitharama Raju,533348,7.0,27.0,93.0,120.0,15.0
Andhra Pradesh,Alluri Sitharama Raju,533352,1.0,6.0,0.0,6.0,3.0
Andhra Pradesh,Alluri Sitharama Raju,533428,21.0,178.0,472.0,650.0,29.545454545454547
Andhra Pradesh,Alluri Sitharama Raju,533429,2.0,32.0,39.0,71.0,23.666666666666668
Andhra Pradesh,Alluri Sitharama Raju,533436,27.0,952.0,496.0,1448.0,51.714285714285715
Andhra Pradesh,Alluri Sitharama Raju,533483,69.0,406.0,733.0,1139.0,16.271428571428572
Andhra Pradesh,Alluri Sitharama Raju,535145,24.0,176.0,770.0,946.0,37.84
Andhra Pradesh,Alluri Sitharama Raju,535273,3.0,17.0,14.0,31.0,7.75
Andhra Pradesh,Anakapalli,530046,7.0,65.0,17.0,82.0,10.25
Andhra Pradesh,Anakapalli,531001,44.0,841.0,498.0,1339.0,29.755555555555556
Andhra Pradesh,Anakapalli,531002,16.0,237.0,53.0,290.0,17.058823529411764
Andhra Pradesh,Anakapalli,531011,21.0,299.0,225.0,524.0,23.818181818181817
Andhra Pradesh,Anakapalli,531019,4.0,485.0,89.0,574.0,114.8
Andhra Pradesh,Anakapalli,531020,6.0,85.0,29.0,114.0,16.285714285714285
Andhra Pradesh,Anakapalli,531021,17.0,461.0,129.0,590.0,32.77777777777778
Andhra Pradesh,Anakapalli,531022,2.0,55.0,18.0,73.0,24.333333333333332
Andhra Pradesh,Anakapalli,531023,6.0,114.0,15.0,129.0,18.428571428571427
Andhra Pradesh,Anakapalli,531025,9.0,265.0,228.0,493.0,49.3
Andhra Pradesh,Anakapalli,531026,13.0,272.0,118.0,390.0,27.857142857142858
Andhra Pradesh,Anakapalli,531027,30.0,707.0,334.0,1041.0,33.58064516129032
Andhra Pradesh,Anakapalli,531028,12.0,184.0,119.0,303.0,23.307692307692307
Andhra Pradesh,Anakapalli,531030,12.0,101.0,128.0,229.0,17.615384615384617
Andhra Pradesh,Anakapalli,531031,18.0,460.0,304.0,764.0,40.21052631578947
Andhra Pradesh,Anakapalli,531032,18.0,538.0,287.0,825.0,43.421052631578945
Andhra Pradesh,Anakapalli,531033,14.0,171.0,57.0,228.0,15.2
Andhra Pradesh,Anakapalli,531034,11.0,185.0,62.0,247.0,20.583333333333332
Andhra Pradesh,Anakapalli,531035,23.0,451.0,361.0,812.0,33.833333333333336
Andhra Pradesh,Anakapalli,531036,15.0,488.0,289.0,777.0,48.5625
Andhra Pradesh,Anakapalli,531055,32.0,2171.0,392.0,2563.0,77.66666666666667
Andhra Pradesh,Anakapalli,531060,9.0,97.0,18.0,115.0,11.5
Andhra Pradesh,Anakapalli,531061,15.0,337.0,173.0,510.0,31.875
Andhra Pradesh,Anakapalli,531075,7.0,46.0,17.0,63.0,7.875
Andhra Pradesh,Anakapalli,531081,17.0,712.0,336.0,1048.0,58.22222222222222
Andhra Pradesh,Anakapalli,531082,3.0,66.0,13.0,79.0,19.75
Andhra Pradesh,Anakapalli,531083,11.0,162.0,89.0,251.0,20.916666666666668
Andhra Pradesh,Anakapalli,531084,8.0,165.0,115.0,280.0,31.11111111111111
Andhra Pradesh,Anakapalli,531085,10.0,193.0,256.0,449.0,40.81818181818182
Andhra Pradesh,Anakapalli,531113,28.0,670.0,338.0,1008.0,34.758620689655174
Andhra Pradesh,Anakapalli,531114,19.0,420.0,209.0,629.0,31.45
Andhra Pradesh,Anakapalli,531115,11.0,158.0,128.0,286.0,23.833333333333332
Andhra Pradesh,Anakapalli,531116,39.0,945.0,683.0,1628.0,40.7
Andhra Pradesh,Anakapalli,531117,3.0,142.0,83.0,225.0,56.25
Andhra Pradesh,Anakapalli,531118,1.0,16.0,7.0,23.0,11.5
Andhra Pradesh,Anakapalli,531126,22.0,546.0,413.0,959.0,41.69565217391305
Andhra Pradesh,Anakapalli,531127,10.0,111.0,63.0,174.0,15.818181818181818
Andhra Pradesh,Anantapur,515001,191.0,2434.0,4532.0,6966.0,36.28125
Andhra Pradesh,Anantapur,515002,14.0,289.0,733.0,1022.0,68.13333333333334
Andhra Pradesh,Anantapur,515003,6.0,59.0,60.0,119.0,17.0
Andhra Pradesh,Anantapur,515004,60.0,712.0,1588.0,2300.0,37.704918032786885
Andhra Pradesh,Anantapur,515101,39.0,900.0,846.0,1746.0,43.65
Andhra Pradesh,Anantapur,515110,38.0,522.0,944.0,1466.0,37.58974358974359
Andhra Pradesh,Anantapur,515122,31.0,999.0,1029.0,2028.0,63.375
Andhra Pradesh,Anantapur,515123,27.0,423.0,1066.0,1489.0,53.17857142857143
Andhra Pradesh,Anantapur,515124,21.0,424.0,544.0,968.0,44.0
Andhra Pradesh,Anantapur,515133,37.0,461.0,527.0,988.0,26.0
Andhra Pradesh,Anantapur,515134,25.0,380.0,594.0,974.0,37.46153846153846
Andhra Pradesh,Anantapur,515144,55.0,645.0,735.0,1380.0,24.642857142857142
Andhra Pradesh,Anantapur,515154,14.0,219.0,482.0,701.0,46.733333333333334
Andhra Pradesh,Anantapur,515159,8.0,149.0,190.0,339.0,37.666666666666664
Andhra Pradesh,Anantapur,515164,22.0,212.0,342.0,554.0,24.08695652173913
Andhra Pradesh,Anantapur,515201,109.0,1923.0,2607.0,4530.0,41.18181818181818
Andhra Pradesh,Anantapur,515211,24.0,375.0,656.0,1031.0,41.24
Andhra Pradesh,Anantapur,515212,29.0,595.0,504.0,1099.0,36.63333333333333
Andhra Pradesh,Anantapur,515231,47.0,1671.0,1265.0,2936.0,61.166666666666664
Andhra Pradesh,Anantapur,515241,18.0,670.0,560.0,1230.0,64.73684210526316
Andhra Pradesh,Anantapur,515261,34.0,341.0,415.0,756.0,21.6
Andhra Pradesh,Anantapur,515271,27.0,666.0,852.0,1518.0,54.214285714285715
Andhra Pradesh,Anantapur,515281,23.0,676.0,792.0,1468.0,61.166666666666664
Andhra Pradesh,Anantapur,515286,15.0,364.0,620.0,984.0,61.5
Andhra Pradesh,Anantapur,515291,22.0,236.0,511.0,747.0,32.47826086956522
Andhra Pradesh,Anantapur,515301,49.0,1602.0,1234.0,2836.0,56.72
Andhra Pradesh,Anantapur,515303,25.0,258.0,546.0,804.0,30.923076923076923
Andhra Pradesh,Anantapur,515305,18.0,339.0,675.0,1014.0,53.36842105263158
Andhra Pradesh,Anantapur,515311,27.0,837.0,1033.0,1870.0,66.78571428571429
Andhra Pradesh,Anantapur,515321,26.0,379.0,564.0,943.0,34.925925925925924
Andhra Pradesh,Anantapur,515331,56.0,587.0,827.0,1414.0,24.80701754385965
Andhra Pradesh,Anantapur,515341,22.0,345.0,235.0,580.0,25.217391304347824
Andhra Pradesh,Anantapur,515401,106.0,1988.0,1981.0,3969.0,37.09345794392523
Andhra Pradesh,Anantapur,515402,28.0,218.0,757.0,975.0,33.62068965517241
Andhra Pradesh,Anantapur,515405,24.0,338.0,706.0,1044.0,41.76
Andhra Pradesh,Anantapur,515408,48.0,901.0,976.0,1877.0,38.30612244897959
Andhra Pradesh,Anantapur,515411,152.0,2346.0,2235.0,4581.0,29.941176470588236
Andhra Pradesh,Anantapur,515414,21.0,456.0,600.0,1056.0,48.0
Andhra Pradesh,Anantapur,515415,12.0,123.0,189.0,312.0,24.0
Andhra Pradesh,Anantapur,515425,73.0,2226.0,1766.0,3992.0,53.945945945945944
Andhra Pradesh,Anantapur,515435,27.0,190.0,492.0,682.0,24.357142857142858
Andhra Pradesh,Anantapur,515445,46.0,315.0,811.0,1126.0,23.95744680851064
Andhra Pradesh,Anantapur,515455,39.0,322.0,562.0,884.0,22.1
Andhra Pradesh,Anantapur,515465,49.0,366.0,920.0,1286.0,25.72
Andhra Pradesh,Anantapur,515501,31.0,518.0,584.0,1102.0,34.4375
Andhra Pradesh,Anantapur,515511,15.0,614.0,1038.0,1652.0,103.25
Andhra Pradesh,Anantapur,515521,42.0,1124.0,1001.0,2125.0,49.41860465116279
Andhra Pradesh,Anantapur,515531,17.0,307.0,352.0,659.0,36.611111111111114
Andhra Pradesh,Anantapur,515541,24.0,319.0,575.0,894.0,35.76
Andhra Pradesh,Anantapur,515551,23.0,349.0,554.0,903.0,37.625
Andhra Pradesh,Anantapur,515556,16.0,593.0,408.0,1001.0,58.88235294117647
Andhra Pradesh,Anantapur,515561,39.0,708.0,656.0,1364.0,34.1
Andhra Pradesh,Anantapur,515571,40.0,1540.0,955.0,2495.0,60.853658536585364
